,STATION,LINENAME,DATE,ENTRIES
0,OCEAN PKWY,Q,2016-01-02,1661
1,OCEAN PKWY,Q,2016-01-03,1488
2,OCEAN PKWY,Q,2016-01-04,3124
3,OCEAN PKWY,Q,2016-01-05,3131
4,OCEAN PKWY,Q,2016-01-06,3336
5,OCEAN PKWY,Q,2016-01-07,3346
6,OCEAN PKWY,Q,2016-01-08,3172
7,BAY RIDGE AV,R,2016-01-02,7611
8,BAY RIDGE AV,R,2016-01-03,6099
9,BAY RIDGE AV,R,2016-01-04,14369
10,BAY RIDGE AV,R,2016-01-05,14245
11,BAY RIDGE AV,R,2016-01-06,14813
12,BAY RIDGE AV,R,2016-01-07,14826
13,BAY RIDGE AV,R,2016-01-08,14533
14,COURT SQ-23 ST,EMG,2016-01-02,3042
15,COURT SQ-23 ST,EMG,2016-01-03,2426
16,COURT SQ-23 ST,EMG,2016-01-04,10381
17,COURT SQ-23 ST,EMG,2016-01-05,8237
18,COURT SQ-23 ST,EMG,2016-01-06,8348
19,COURT SQ-23 ST,EMG,2016-01-07,8550
20,COURT SQ-23 ST,EMG,2016-01-08,8044
21,53 ST,R,2016-01-02,4373
22,53 ST,R,2016-01-03,3711
23,53 ST,R,2016-01-04,7342
24,53 ST,R,2016-01-05,7135
25,53 ST,R,2016-01-06,7367
26,53 ST,R,2016-01-07,7178
27,53 ST,R,2016-01-08,7339
28,116 ST,BC,2016-01-02,3970
29,116 ST,BC,2016-01-03,3684
30,116 ST,BC,2016-01-04,7000
31,116 ST,BC,2016-01-05,7146
32,116 ST,BC,2016-01-06,7362
33,116 ST,BC,2016-01-07,7242
34,116 ST,BC,2016-01-08,6951
35,CATHEDRAL PKWY,1,2016-01-02,8217
36,CATHEDRAL PKWY,1,2016-01-03,7047
37,CATHEDRAL PKWY,1,2016-01-04,12117
38,CATHEDRAL PKWY,1,2016-01-05,12416
39,CATHEDRAL PKWY,1,2016-01-06,13090
40,CATHEDRAL PKWY,1,2016-01-07,13025
41,CATHEDRAL PKWY,1,2016-01-08,11695
42,BAY PKWY,D,2016-01-02,6878
43,BAY PKWY,D,2016-01-03,6148
44,BAY PKWY,D,2016-01-04,7561
45,BAY PKWY,D,2016-01-05,7212
46,BAY PKWY,D,2016-01-06,7642
47,BAY PKWY,D,2016-01-07,7662
48,BAY PKWY,D,2016-01-08,7262
49,7 AV,BQ,2016-01-02,4995
