,STATION,LINENAME,DATE,WEEKLY ENTRIES
0,OCEAN PKWY,Q,2016-01-02,19258
1,BAY RIDGE AV,R,2016-01-02,86496
2,COURT SQ-23 ST,EMG,2016-01-02,49028
3,53 ST,R,2016-01-02,44445
4,116 ST,BC,2016-01-02,43355
5,CATHEDRAL PKWY,1,2016-01-02,77607
6,BAY PKWY,D,2016-01-02,50365
7,7 AV,BQ,2016-01-02,56981
8,CHAMBERS ST,ACE23,2016-01-02,210497
9,GREENPOINT AV,G,2016-01-02,56077
10,VERNON-JACKSON,7,2016-01-02,86960
11,BUHRE AV,6,2016-01-02,20064
12,55 ST,D,2016-01-02,12134
13,SPRING ST,6,2016-01-02,68262
14,111 ST,J,2016-01-02,15483
15,42 ST-PORT AUTH,ACENQRS1237,2016-01-02,488941
16,AVENUE U,BQ,2016-01-02,41123
17,161/YANKEE STAD,4BD,2016-01-02,52604
18,BEVERLY RD,25,2016-01-02,26839
19,86 ST,R,2016-01-02,72555
20,36 AV,NQ,2016-01-02,42508
21,34 ST-HERALD SQ,BDFMNQR,2016-01-02,719017
22,BEACH 67 ST,A,2016-01-02,13980
23,MORISN AV/SNDVW,6,2016-01-02,39761
24,125 ST,1,2016-01-02,45342
25,15 ST-PROSPECT,FG,2016-01-02,38951
26,RECTOR ST,1,2016-01-02,58832
27,JAMAICA 179 ST,F,2016-01-02,133469
28,LONGWOOD AV,6,2016-01-02,20807
29,MT EDEN AV,4,2016-01-02,34158
30,207 ST,1,2016-01-02,39769
31,WOODLAWN,4,2016-01-02,44234
32,KOSCIUSZKO ST,J,2016-01-02,30390
33,LACKAWANNA,1,2016-01-02,47164
34,BEACH 36 ST,A,2016-01-02,5880
35,PENNSYLVANIA AV,3,2016-01-02,45450
36,116 ST-COLUMBIA,1,2016-01-02,61733
37,NOSTRAND AV,AC,2016-01-02,109060
38,225 ST,25,2016-01-02,27605
39,CONEY IS-STILLW,DFNQ,2016-01-02,72666
40,174-175 STS,BD,2016-01-02,33188
41,116 ST,6,2016-01-02,94674
42,KINGSBRIDGE RD,BD,2016-01-02,47359
43,30 AV,NQ,2016-01-02,87609
44,FORDHAM RD,BD,2016-01-02,70435
45,NORWOOD AV,JZ,2016-01-02,21139
46,8 ST-NYU,NR,2016-01-02,99169
47,KEW GARDENS,EF,2016-01-02,157450
48,FLUSHING AV,G,2016-01-02,16618
49,B'WAY-LAFAYETTE,BDFQ6,2016-01-02,137306
50,CYPRESS HILLS,J,2016-01-02,8167
51,77 ST,6,2016-01-02,186382
52,BEDFORD AV,L,2016-01-02,162293
53,METS-WILLETS PT,7,2016-01-02,12842
54,FAR ROCKAWAY,A,2016-01-02,30130
55,CANARSIE-ROCKAW,L,2016-01-02,77295
56,175 ST,A,2016-01-02,77971
57,LAFAYETTE AV,C,2016-01-02,30471
58,CANAL ST,ACE,2016-01-02,110272
59,4AV-9 ST,DFGMNR,2016-01-02,56454
60,HOWARD BCH JFK,A,2016-01-02,28351
61,EAST 105 ST,L,2016-01-02,24032
62,170 ST,BD,2016-01-02,24160
63,BOROUGH HALL,2345R,2016-01-02,198628
64,135 ST,23,2016-01-02,96437
65,WOODHAVEN BLVD,JZ,2016-01-02,28433
66,KINGSBRIDGE RD,4,2016-01-02,57014
67,ROOSEVELT ISLND,F,2016-01-02,36946
68,75 AV,EF,2016-01-02,20183
69,137 ST CITY COL,1,2016-01-02,79521
70,GRAHAM AV,L,2016-01-02,62976
71,FLUSHING AV,JM,2016-01-02,56130
72,HOYT ST,23,2016-01-02,46437
73,50 ST,D,2016-01-02,19443
74,INTERVALE AV,25,2016-01-02,20507
75,21 ST,G,2016-01-02,10259
76,CATHEDRAL PKWY,BC,2016-01-02,43016
77,174 ST,25,2016-01-02,39676
78,PROSPECT AV,25,2016-01-02,48562
79,PROSPECT PARK,BQS,2016-01-02,59108
80,34 ST-PENN STA,123,2016-01-02,211706
81,TREMONT AV,BD,2016-01-02,59845
82,E 149 ST,6,2016-01-02,29305
83,79 ST,D,2016-01-02,41745
84,110 ST,6,2016-01-02,72345
85,EUCLID AV,AC,2016-01-02,74587
86,135 ST,BC,2016-01-02,31475
87,INWOOD-207 ST,A,2016-01-02,56405
88,CHAMBERS ST,JZ456,2016-01-02,63947
89,161/YANKEE STAD,BD4,2016-01-02,82216
90,CHURCH AV,BQ,2016-01-02,104542
91,66 ST-LINCOLN,1,2016-01-02,152061
92,PELHAM PKWY,25,2016-01-02,57819
93,KINGSTON AV,3,2016-01-02,31560
94,14TH STREET,1,2016-01-02,52580
95,125 ST,456,2016-01-02,151777
96,BAYCHESTER AV,5,2016-01-02,24598
97,JUNCTION BLVD,7,2016-01-02,139022
98,59 ST COLUMBUS,1ABCD,2016-01-02,71379
